Record,Time,Latitude,Longitude,Altitude,Speed,GForceX,GForceY,GForceZ,Lap,GyroX,GyroY,GyroZ
1,2026-09-12T12:31:30.120Z,48.0560154,17.5707847,120.4,5.06,-0.027,-0.060,1.027,0,-1.00,-0.91,3.41
2,2026-09-12T12:31:30.160Z,48.0560155,17.5707839,120.4,5.10,-0.007,-0.101,1.051,0,-2.11,-1.19,5.55
3,2026-09-12T12:31:30.200Z,48.0560156,17.5707832,120.4,5.03,0.009,-0.134,1.062,0,-2.79,-1.29,8.11
4,2026-09-12T12:31:30.240Z,48.0560157,17.5707825,120.4,5.25,0.025,-0.166,1.063,0,-3.11,-1.28,10.98
5,2026-09-12T12:31:30.280Z,48.0560157,17.5707818,120.4,5.31,0.036,-0.183,1.053,0,-2.98,-1.24,14.03
6,2026-09-12T12:31:30.320Z,48.0560158,17.5707810,120.4,5.24,0.031,-0.163,1.026,0,-1.76,-0.80,16.08
7,2026-09-12T12:31:30.360Z,48.0560159,17.5707803,120.4,5.40,0.028,-0.137,0.993,0,-0.75,-0.85,17.67
8,2026-09-12T12:31:30.400Z,48.0560160,17.5707795,120.4,5.52,0.033,-0.108,0.975,0,-0.15,-1.26,18.63
9,2026-09-12T12:31:30.440Z,48.0560159,17.5707786,120.4,5.79,0.036,-0.083,0.965,0,-0.14,-1.85,19.03
10,2026-09-12T12:31:30.480Z,48.0560159,17.5707777,120.4,5.88,0.043,-0.070,0.972,0,-0.63,-2.52,19.07
11,2026-09-12T12:31:30.520Z,48.0560160,17.5707769,120.4,5.80,0.042,-0.073,0.980,0,-1.51,-3.04,19.11
12,2026-09-12T12:31:30.560Z,48.0560160,17.5707761,120.4,5.77,0.045,-0.087,0.998,0,-2.48,-3.49,19.49
13,2026-09-12T12:31:30.600Z,48.0560160,17.5707752,120.4,6.00,0.043,-0.107,1.010,0,-3.07,-3.65,20.35
14,2026-09-12T12:31:30.640Z,48.0560160,17.5707743,120.4,6.17,0.041,-0.121,1.018,0,-3.11,-3.70,21.65
15,2026-09-12T12:31:30.680Z,48.0560160,17.5707734,120.4,6.16,0.038,-0.128,1.014,0,-2.72,-3.75,23.17
16,2026-09-12T12:31:30.720Z,48.0560160,17.5707725,120.4,6.26,0.041,-0.124,1.009,0,-1.99,-3.92,24.66
17,2026-09-12T12:31:30.760Z,48.0560161,17.5707715,120.4,6.55,0.044,-0.110,1.005,0,-1.19,-4.08,25.83
18,2026-09-12T12:31:30.800Z,48.0560160,17.5707705,120.4,6.70,0.048,-0.091,1.002,0,-0.70,-4.33,26.57
19,2026-09-12T12:31:30.840Z,48.0560159,17.5707694,120.4,7.00,0.056,-0.072,1.005,0,-0.60,-4.59,26.80
20,2026-09-12T12:31:30.880Z,48.0560159,17.5707685,120.4,6.61,0.061,-0.050,1.009,0,-0.92,-4.68,26.54
21,2026-09-12T12:31:30.920Z,48.0560157,17.5707676,120.4,6.62,0.066,-0.034,1.011,0,-1.67,-4.65,25.85
22,2026-09-12T12:31:30.960Z,48.0560156,17.5707664,120.4,7.52,0.068,-0.024,1.010,0,-2.85,-4.50,24.88
23,2026-09-12T12:31:31.000Z,48.0560155,17.5707651,120.4,8.16,0.069,-0.024,1.007,0,-4.25,-4.32,23.94
24,2026-09-12T12:31:31.040Z,48.0560153,17.5707642,120.4,7.57,0.073,-0.031,1.006,0,-5.74,-4.21,23.19
25,2026-09-12T12:31:31.080Z,48.0560153,17.5707630,120.4,7.60,0.074,-0.040,1.006,0,-7.17,-4.19,22.79
26,2026-09-12T12:31:31.120Z,48.0560152,17.5707617,120.4,8.15,0.076,-0.057,1.006,0,-8.45,-4.32,22.80
27,2026-09-12T12:31:31.160Z,48.0560151,17.5707606,120.4,7.79,0.078,-0.069,1.002,0,-9.19,-4.49,23.11
28,2026-09-12T12:31:31.200Z,48.0560148,17.5707596,120.4,7.61,0.082,-0.086,1.007,0,-9.54,-4.72,23.56
29,2026-09-12T12:31:31.240Z,48.0560143,17.5707582,120.4,8.59,0.080,-0.104,1.004,0,-9.63,-4.95,24.20
30,2026-09-12T12:31:31.280Z,48.0560141,17.5707570,120.4,8.65,0.083,-0.120,1.008,0,-9.30,-5.29,24.94
31,2026-09-12T12:31:31.320Z,48.0560140,17.5707558,120.4,8.48,0.081,-0.132,1.013,0,-8.79,-5.59,25.82
32,2026-09-12T12:31:31.360Z,48.0560139,17.5707545,120.4,9.04,0.079,-0.143,1.015,0,-8.25,-6.04,26.92
33,2026-09-12T12:31:31.400Z,48.0560134,17.5707533,120.4,9.03,0.078,-0.143,1.016,0,-7.64,-6.55,28.14
34,2026-09-12T12:31:31.440Z,48.0560130,17.5707520,120.4,9.33,0.078,-0.139,1.014,0,-7.03,-6.97,29.34
35,2026-09-12T12:31:31.480Z,48.0560127,17.5707508,120.4,9.30,0.074,-0.133,1.005,0,-6.51,-7.33,30.48
36,2026-09-12T12:31:31.520Z,48.0560124,17.5707494,120.4,9.42,0.078,-0.122,1.003,0,-5.93,-7.79,31.43
37,2026-09-12T12:31:31.560Z,48.0560121,17.5707481,120.4,9.49,0.085,-0.121,1.006,0,-5.48,-8.19,32.21
38,2026-09-12T12:31:31.600Z,48.0560115,17.5707467,120.4,9.80,0.083,-0.115,1.004,0,-4.90,-8.46,32.89
39,2026-09-12T12:31:31.640Z,48.0560111,17.5707454,120.4,9.82,0.090,-0.117,1.015,0,-4.26,-8.97,33.56
40,2026-09-12T12:31:31.680Z,48.0560105,17.5707441,120.4,10.25,0.097,-0.118,1.022,0,-3.64,-9.28,34.24
41,2026-09-12T12:31:31.720Z,48.0560100,17.5707426,120.4,10.59,0.101,-0.113,1.026,0,-2.86,-9.39,34.85
42,2026-09-12T12:31:31.760Z,48.0560094,17.5707411,120.4,10.94,0.101,-0.108,1.029,0,-2.16,-9.47,35.36
43,2026-09-12T12:31:31.800Z,48.0560088,17.5707395,120.4,11.50,0.107,-0.107,1.032,0,-1.47,-9.56,35.69
44,2026-09-12T12:31:31.840Z,48.0560085,17.5707382,120.4,11.08,0.106,-0.103,1.024,0,-0.91,-9.52,35.81
45,2026-09-12T12:31:31.880Z,48.0560078,17.5707369,120.5,10.99,0.111,-0.094,1.024,0,-0.09,-9.58,35.69
46,2026-09-12T12:31:31.920Z,48.0560070,17.5707354,120.4,11.28,0.122,-0.094,1.025,0,0.55,-9.70,35.50
47,2026-09-12T12:31:31.960Z,48.0560062,17.5707341,120.4,11.80,0.130,-0.089,1.018,0,1.28,-9.64,35.13
48,2026-09-12T12:31:32.000Z,48.0560055,17.5707324,120.4,12.34,0.141,-0.086,1.019,0,2.00,-9.59,34.66
49,2026-09-12T12:31:32.040Z,48.0560048,17.5707310,120.4,12.35,0.151,-0.083,1.021,0,2.59,-9.50,34.10
50,2026-09-12T12:31:32.080Z,48.0560039,17.5707296,120.5,12.43,0.157,-0.077,1.025,0,3.06,-9.33,33.33
51,2026-09-12T12:31:32.120Z,48.0560030,17.5707281,120.4,12.82,0.155,-0.072,1.025,0,3.43,-9.06,32.41
52,2026-09-12T12:31:32.160Z,48.0560021,17.5707266,120.4,13.15,0.148,-0.066,1.028,0,3.71,-8.70,31.40
53,2026-09-12T12:31:32.200Z,48.0560012,17.5707250,120.4,13.82,0.145,-0.064,1.029,0,3.84,-8.34,30.19
54,2026-09-12T12:31:32.240Z,48.0560002,17.5707235,120.4,13.66,0.141,-0.058,1.024,0,3.95,-7.81,28.86
55,2026-09-12T12:31:32.280Z,48.0559992,17.5707222,120.4,13.47,0.140,-0.058,1.024,0,4.00,-7.29,27.58
56,2026-09-12T12:31:32.320Z,48.0559982,17.5707209,120.4,13.74,0.136,-0.061,1.021,0,3.98,-6.74,26.31
57,2026-09-12T12:31:32.360Z,48.0559971,17.5707194,120.4,14.23,0.132,-0.068,1.021,0,3.99,-6.25,25.15
58,2026-09-12T12:31:32.400Z,48.0559960,17.5707179,120.4,14.66,0.127,-0.075,1.024,0,4.14,-5.83,24.20
59,2026-09-12T12:31:32.440Z,48.0559949,17.5707164,120.4,14.65,0.120,-0.078,1.023,0,4.45,-5.41,23.44
60,2026-09-12T12:31:32.480Z,48.0559937,17.5707149,120.4,15.15,0.113,-0.086,1.021,0,4.76,-5.13,22.86
61,2026-09-12T12:31:32.520Z,48.0559927,17.5707136,120.4,14.91,0.108,-0.089,1.018,0,5.23,-4.97,22.38
62,2026-09-12T12:31:32.560Z,48.0559915,17.5707121,120.4,15.29,0.108,-0.083,1.016,0,5.84,-4.84,21.92
63,2026-09-12T12:31:32.600Z,48.0559903,17.5707105,120.4,15.49,0.106,-0.081,1.016,0,6.41,-4.78,21.47
64,2026-09-12T12:31:32.640Z,48.0559891,17.5707091,120.4,15.63,0.112,-0.084,1.016,0,6.82,-4.79,21.00
65,2026-09-12T12:31:32.680Z,48.0559878,17.5707076,120.4,15.88,0.110,-0.082,1.016,0,7.26,-4.58,20.47
66,2026-09-12T12:31:32.720Z,48.0559866,17.5707060,120.4,16.32,0.106,-0.081,1.012,0,7.70,-4.41,19.88
67,2026-09-12T12:31:32.760Z,48.0559852,17.5707047,120.4,16.15,0.104,-0.072,1.009,0,8.26,-4.15,19.23
