Record,Time,Latitude,Longitude,Altitude,Speed,GForceX,GForceZ,Lap,LeanAngle,GyroX,GyroY,GyroZ
1,2026-09-13T13:38:12.560Z,48.0555120,17.5701619,115.2,5.58,0.069,0.994,0,0.7,-0.37,-0.16,1.13
2,2026-09-13T13:38:12.600Z,48.0555113,17.5701615,115.2,6.43,0.189,0.998,0,0.9,-1.02,-0.03,0.20
3,2026-09-13T13:38:12.640Z,48.0555106,17.5701610,115.2,7.37,0.304,0.986,0,0.8,-1.81,0.01,-0.76
4,2026-09-13T13:38:12.680Z,48.0555099,17.5701605,115.2,8.19,0.417,1.003,0,0.9,-2.70,-0.29,-1.76
5,2026-09-13T13:38:12.720Z,48.0555089,17.5701600,115.3,8.87,0.519,0.997,0,1.2,-3.91,-0.39,-2.62
6,2026-09-13T13:38:12.760Z,48.0555081,17.5701594,115.2,9.48,0.539,1.000,0,1.4,-4.81,-0.42,-2.82
7,2026-09-13T13:38:12.800Z,48.0555070,17.5701587,115.2,10.32,0.573,0.999,0,1.3,-5.78,-0.92,-3.08
8,2026-09-13T13:38:12.840Z,48.0555059,17.5701580,115.2,11.27,0.619,1.008,0,1.2,-6.86,-1.51,-3.33
9,2026-09-13T13:38:12.880Z,48.0555047,17.5701570,115.2,12.41,0.670,1.010,0,1.0,-7.82,-1.94,-3.42
10,2026-09-13T13:38:12.920Z,48.0555034,17.5701561,115.3,13.69,0.723,1.016,0,0.7,-8.72,-2.11,-3.24
11,2026-09-13T13:38:12.960Z,48.0555020,17.5701552,115.3,14.89,0.762,1.028,0,0.5,-9.66,-2.24,-2.57
12,2026-09-13T13:38:13.000Z,48.0555004,17.5701540,115.2,15.90,0.785,1.026,0,0.3,-10.41,-1.78,-1.45
13,2026-09-13T13:38:13.040Z,48.0554990,17.5701529,115.2,16.78,0.800,1.030,0,-0.2,-10.95,-1.42,-0.08
14,2026-09-13T13:38:13.080Z,48.0554972,17.5701517,115.2,17.78,0.790,1.006,0,-0.4,-11.41,-0.97,1.54
15,2026-09-13T13:38:13.120Z,48.0554954,17.5701505,115.2,18.96,0.786,0.985,0,-0.7,-11.47,-1.03,3.29
16,2026-09-13T13:38:13.160Z,48.0554935,17.5701491,115.2,19.96,0.786,0.968,0,-0.5,-11.36,-1.13,4.96
17,2026-09-13T13:38:13.200Z,48.0554916,17.5701478,115.2,21.07,0.798,0.953,0,-0.7,-10.96,-1.78,6.54
18,2026-09-13T13:38:13.240Z,48.0554894,17.5701463,115.2,22.24,0.785,0.964,0,-0.8,-10.16,-1.74,8.24
19,2026-09-13T13:38:13.280Z,48.0554873,17.5701448,115.2,23.27,0.764,0.985,0,-1.6,-9.19,-1.21,9.82
20,2026-09-13T13:38:13.320Z,48.0554850,17.5701431,115.2,24.13,0.713,1.003,0,-2.4,-7.79,-0.26,11.26
21,2026-09-13T13:38:13.360Z,48.0554827,17.5701415,115.2,24.75,0.641,1.012,0,-3.3,-5.90,0.79,12.61
22,2026-09-13T13:38:13.400Z,48.0554803,17.5701400,115.2,25.30,0.568,1.016,0,-3.1,-3.73,1.49,13.74
23,2026-09-13T13:38:13.440Z,48.0554779,17.5701384,115.2,26.13,0.530,1.015,0,-3.2,-1.28,0.81,14.78
24,2026-09-13T13:38:13.480Z,48.0554754,17.5701367,115.2,26.84,0.510,1.016,0,-3.3,1.63,-0.26,15.77
25,2026-09-13T13:38:13.520Z,48.0554728,17.5701349,115.2,27.87,0.514,1.017,0,-3.6,4.77,-1.58,16.57
26,2026-09-13T13:38:13.560Z,48.0554702,17.5701330,115.2,28.76,0.542,1.016,0,-4.1,8.23,-2.98,17.02
27,2026-09-13T13:38:13.600Z,48.0554673,17.5701313,115.2,29.57,0.562,1.010,0,-4.5,11.50,-3.90,17.08
28,2026-09-13T13:38:13.640Z,48.0554645,17.5701295,115.2,30.38,0.582,1.000,0,-4.4,14.52,-4.38,16.37
29,2026-09-13T13:38:13.680Z,48.0554615,17.5701278,115.2,31.18,0.595,0.998,0,-4.1,17.05,-4.62,14.98
30,2026-09-13T13:38:13.720Z,48.0554586,17.5701259,115.2,31.88,0.601,1.003,0,-3.5,19.00,-4.05,13.05
31,2026-09-13T13:38:13.760Z,48.0554554,17.5701240,115.2,32.83,0.595,1.010,0,-3.3,20.09,-3.17,10.70
32,2026-09-13T13:38:13.800Z,48.0554522,17.5701222,115.2,33.56,0.586,1.014,0,-2.5,20.26,-2.28,8.12
33,2026-09-13T13:38:13.840Z,48.0554491,17.5701203,115.2,34.14,0.576,1.013,0,-1.5,19.53,-1.26,5.46
34,2026-09-13T13:38:13.880Z,48.0554457,17.5701184,115.2,34.74,0.582,1.009,0,-1.1,18.06,-0.77,3.03
35,2026-09-13T13:38:13.920Z,48.0554424,17.5701164,115.2,35.68,0.579,0.999,0,-0.9,16.28,-0.32,0.95
36,2026-09-13T13:38:13.960Z,48.0554389,17.5701144,115.2,36.28,0.585,0.995,0,-0.6,14.10,-0.30,-0.60
37,2026-09-13T13:38:14.000Z,48.0554353,17.5701123,115.2,37.53,0.588,0.995,0,-0.3,12.09,0.03,-1.69
38,2026-09-13T13:38:14.040Z,48.0554316,17.5701102,115.2,38.55,0.585,0.989,0,0.2,10.16,0.13,-2.36
39,2026-09-13T13:38:14.080Z,48.0554279,17.5701081,115.2,39.46,0.589,0.999,0,0.7,8.31,0.22,-2.93
40,2026-09-13T13:38:14.120Z,48.0554242,17.5701059,115.2,39.91,0.595,0.998,0,1.8,6.73,0.06,-3.37
41,2026-09-13T13:38:14.160Z,48.0554203,17.5701037,115.2,40.60,0.605,0.994,0,2.5,5.51,-0.10,-3.48
42,2026-09-13T13:38:14.200Z,48.0554163,17.5701014,115.2,41.68,0.629,1.007,0,2.7,4.63,-0.37,-3.10
43,2026-09-13T13:38:14.240Z,48.0554122,17.5700989,115.2,42.69,0.637,0.998,0,2.3,4.48,-0.41,-2.32
44,2026-09-13T13:38:14.280Z,48.0554082,17.5700964,115.2,43.66,0.645,1.006,0,2.0,4.46,-0.49,-1.23
45,2026-09-13T13:38:14.320Z,48.0554040,17.5700938,115.2,44.40,0.652,1.009,0,1.8,4.75,-0.74,-0.30
46,2026-09-13T13:38:14.360Z,48.0553997,17.5700913,115.2,45.30,0.643,1.004,0,2.3,5.22,-0.54,0.31
47,2026-09-13T13:38:14.400Z,48.0553954,17.5700886,115.2,46.11,0.641,1.005,0,2.9,5.64,-0.37,0.63
48,2026-09-13T13:38:14.440Z,48.0553909,17.5700861,115.2,46.74,0.648,0.999,0,3.4,6.02,-0.35,0.75
49,2026-09-13T13:38:14.480Z,48.0553865,17.5700833,115.2,47.74,0.653,0.990,0,3.3,6.71,-0.11,0.74
50,2026-09-13T13:38:14.520Z,48.0553817,17.5700804,115.2,48.99,0.644,0.973,0,3.5,7.57,0.55,0.62
51,2026-09-13T13:38:14.560Z,48.0553769,17.5700775,115.2,50.28,0.638,0.959,0,3.7,8.63,0.99,0.35
52,2026-09-13T13:38:14.600Z,48.0553722,17.5700744,115.2,50.82,0.627,0.955,0,4.0,9.88,1.16,-0.17
53,2026-09-13T13:38:14.640Z,48.0553675,17.5700715,115.2,51.35,0.630,0.980,0,3.9,10.80,1.03,-0.89
54,2026-09-13T13:38:14.680Z,48.0553627,17.5700683,115.2,51.89,0.635,1.009,0,3.6,11.39,0.73,-1.66
55,2026-09-13T13:38:14.720Z,48.0553576,17.5700652,115.2,52.97,0.641,1.032,0,3.9,11.15,0.23,-2.49
